shift,duty,report,depart,location,startbreak,startbreaklocation,breakreport,finishbreak,finishbreaklocation,finish,finishlocation,signoff,spread,work,relief
PZ3/01,007301,04:41:00,05:19:00,Garage,Workout,,,,,10:42:00,Garage,10:42:00,05:23:00,05:23:00,00:00:00,,,05:19:00
PZ3/02,007302,04:40:00,05:20:00,Garage,09:00:00,Garage,10:28:00,10:28:00,Garage,13:30:00,Garage,13:30:00,08:50:00,07:22:00,01:28:00,,04:40:00,03:02:00
PZ3/03,007303,07:47:00,07:55:00,Garage,11:20:00,Garage,12:20:00,12:23:00,Garage,15:40:00,Garage,15:40:00,07:53:00,06:53:00,01:00:00,,03:33:00,03:20:00
PZ3/04,007304,11:51:00,11:54:00,Garage,14:40:00,Garage,15:54:00,15:57:00,Garage,20:35:00,Garage,20:35:00,08:44:00,07:30:00,01:14:00,,02:57:00,04:41:00
PZ3/05,007305,12:07:00,12:10:00,Garage,16:40:00,Garage,17:55:00,17:58:00,Garage,22:00:00,Garage,22:00:00,09:53:00,08:38:00,01:15:00,B-Rota,04:33:00,04:05:00
PZ3/06,007306,12:22:00,12:25:00,Garage,17:10:00,Garage,18:27:00,18:30:00,Garage,21:35:00,Garage,21:35:00,09:13:00,08:00:00,01:13:00,,04:48:00,03:08:00
PZ3/07,007307,13:22:00,13:25:00,Garage,16:05:00,Garage,17:07:00,17:10:00,Garage,21:30:00,Garage,21:30:00,08:08:00,07:06:00,01:02:00,B-Rota,02:43:00,04:23:00
PZ3/08,007308,15:47:00,15:50:00,Garage,19:12:00,Garage,20:22:00,20:25:00,Garage,00:30:00,Garage,00:30:00,08:43:00,07:33:00,01:10:00,B-Rota,03:25:00,04:18:00
PZ3/09,007309,16:07:00,16:10:00,Garage,19:30:00,Garage,20:30:00,20:33:00,Garage,00:28:00,Garage,00:28:00,08:18:00,07:18:00,01:00:00,B-Rota,03:23:00,04:00:00
PZ3/10,007310,19:22:00,19:25:00,Garage,Workout,,,,,00:35:00,Garage,00:35:00,05:13:00,05:13:00,00:00:00,,,00:35:00
PZ3/1X,007351,08:25:00,08:33:00,Garage,13:12:00,Garage,14:17:00,14:20:00,Garage,17:15:00,Garage,17:15:00,08:50:00,07:45:00,01:05:00,,04:47:00,02:58:00
PZ3/2X,007352,08:32:00,08:40:00,Garage,13:35:00,Garage,15:25:00,15:28:00,Garage,17:25:00,Garage,17:25:00,08:53:00,06:00:00,02:53:00,,05:03:00,02:00:00
PZ3/3X,007353,08:42:00,08:50:00,Garage,13:18:00,Garage,14:54:00,14:57:00,Garage,18:20:00,Garage,18:20:00,09:38:00,07:02:00,02:36:00,,04:36:00,03:26:00
