shift,duty,report,depart,location,startbreak,startbreaklocation,breakreport,finishbreak,finishbreaklocation,finish,finishlocation,signoff,spread,work,relief
PZ4/01,007401,06:02:00,06:10:00,PHIBPO,WORKOUT,nan,nan,nan,nan,10:45:00,PSQW-PE(9),10:57:00,04:55:00,04:55:00,00:00:00
PZ4/02,007402,06:02:00,06:10:00,PHIBPO,WORKOUT,nan,nan,nan,nan,10:15:00,PSQE-PQ(9),10:27:00,04:25:00,04:25:00,00:00:00
PZ4/03,007403,06:17:00,06:25:00,PHIBPO,09:15:00,PSQE-PQ(9),10:25:00,10:45:00,PHIBPO,14:05:00,PSQW-PE(9),14:17:00,08:00:00,06:50:00,01:10:00
PZ4/04,007404,06:22:00,06:30:00,PHIBPO,08:55:00,PSQW-PE(9),10:05:00,10:05:00,PSQE-PQ(122),14:55:00,PSQW-PD(122),15:07:00,08:45:00,07:35:00,01:10:00
PZ4/05,007405,06:22:00,06:30:00,PHIBPO,09:45:00,PSQE-PQ(122),10:45:00,10:45:00,PSQW-PE(9),16:00:00,PSQE-PQ(9),16:12:00,09:50:00,08:50:00,01:00:00
PZ4/06,007406,06:27:00,06:35:00,PHIBPO,11:30:00,PSQE-PQ(122),12:55:00,12:55:00,PSQE-PQ(9),15:00:00,PSQW-PE(9),15:12:00,08:45:00,07:20:00,01:25:00
PZ4/07,007407,06:32:00,06:40:00,PHIBPO,09:35:00,PSQE-PQ(9),10:55:00,11:15:00,PHIBPO(9),16:10:00,PSQE-PQ(9),16:22:00,09:50:00,08:30:00,01:20:00
PZ4/08,007408,06:42:00,06:50:00,PHIBPO,09:15:00,PSQW-PE(9),10:15:00,10:15:00,PSQE-PQ(9),15:30:00,PSQW-PE(9),15:42:00,09:00:00,08:00:00,01:00:00
PZ4/09,007409,06:42:00,06:50:00,PHIBPO,10:05:00,PSQE-PQ(122),11:05:00,11:05:00,PSQE-PQ(9),15:00:00,PSQE-PQ(9),15:12:00,08:30:00,07:30:00,01:00:00
PZ4/10,007410,06:47:00,06:55:00,PHIBPO,11:45:00,PSQW-PE(9),12:55:00,12:55:00,PSQW-PD(122),15:55:00,PSQW-PD(122),16:07:00,09:20:00,08:10:00,01:10:00
PZ4/11,007411,06:47:00,06:55:00,PHIBPO,11:50:00,PSQE-PQ(122),13:00:00,13:00:00,PSQW-PE(9),16:30:00,PSQW-PE(9),16:42:00,09:55:00,08:45:00,01:10:00
PZ4/12,007412,07:02:00,07:10:00,PHIBPO,WORKOUT,nan,nan,nan,nan,12:15:00,PSQW-PD(122),12:27:00,05:25:00,05:25:00,00:00:00
PZ4/13,007413,07:02:00,07:10:00,PHIBPO,11:05:00,PSQE-PQ(9),12:15:00,12:15:00,PSQW-PD(122),15:20:00,PSQW-PD(122),15:32:00,08:30:00,07:20:00,01:10:00
PZ4/14,007414,07:07:00,07:15:00,PHIBPO,12:10:00,PSQE-PQ(122),13:35:00,13:35:00,PSQW-PE(9),15:15:00,PSQE-PQ(9),15:27:00,08:20:00,06:55:00,01:25:00
PZ4/15,007415,07:22:00,07:30:00,PHIBPO,WORKOUT,nan,nan,nan,nan,12:55:00,PSQW-PD(122),13:07:00,05:45:00,05:45:00,00:00:00
PZ4/16,007416,07:22:00,07:30:00,PHIBPO,11:40:00,PSQE-PQ(9),12:40:00,12:40:00,PSQE-PQ(9),16:25:00,PSQE-PQ(9),16:37:00,09:15:00,08:15:00,01:00:00
PZ4/17,007417,08:22:00,08:30:00,PHIBPO,WORKOUT,nan,nan,nan,nan,13:35:00,PSQW-PE(9),13:47:00,05:25:00,05:25:00,00:00:00
PZ4/18,007418,11:15:00,11:30:00,PSQE-PQ(122),16:15:00,PSQW-PD(122),17:40:00,17:40:00,PSQE-PQ(9),20:55:00,PSQE-PQ(9),21:07:00,09:52:00,08:27:00,01:25:00
PZ4/19,007419,11:25:00,11:40:00,PSQE-PQ(9),15:30:00,PSQE-PQ(9),17:05:00,17:05:00,PSQW-PD(122),21:15:00,PHIBPI,21:15:00,09:50:00,08:15:00,01:35:00
