Duty,Reports,Departs,Location,Route,From,To,Arrival,Departure,Notes
401,07:27,,Reports at 07:27,,,,,,Duty 401 reports at 07:27
401,,07:35:00,Departs garage,SPL,Reports at 07:27,Departs garage,,07:35:00,
401,,,Drimnagh Rd,122,Departs garage,Drimnagh Rd,,08:00:00,
401,,,Ashington,122,Drimnagh Rd,Ashington,,09:30:00,
401,,,Drimnagh Rd,122,Ashington,Drimnagh Rd,,11:00:00,
401,,,Ashington,122,Drimnagh Rd,Ashington,,12:30:00,Takes Bus 6 (Route 122) at 20:00 psqe
401,,,PSQE,,Ashington,PSQE,13:00:00,,
401,,,,,,,,,Duty 401 Finished Duty
402,,,Takes up at 13:25 PSQE,,,,,,
402,,,PSQE,,Takes up at 13:25 PSQE,PSQE,,13:25:00,
402,,,Limekiln,9,PSQE,Limekiln,,14:30:00,
402,,,PSQW,,Limekiln,PSQW,15:25:00,,
402,,,,,,,,,Duty 402 Finished Duty
402,07:32,,Reports at 07:32,,,,,,Duty 402 reports at 07:32
402,,07:40:00,Departs garage,SPL,Reports at 07:32,Departs garage,,07:40:00,
402,,,Ashington,122,Departs garage,Ashington,,08:00:00,
402,,,Drimnagh Rd,122,Ashington,Drimnagh Rd,,09:00:00,
402,,,Ashington,122,Drimnagh Rd,Ashington,,10:30:00,Takes Bus 3 (Route 9) at 19:45 psqe
402,,,Drimnagh Rd,122,Ashington,Drimnagh Rd,,11:40:00,
402,,,PSQW,,Drimnagh Rd,PSQW,12:25:00,,
402,,,Takes Bus 5 (Route 9) at 13:25 PSQE,,,,,,Takes Bus 5 (Route 9) at 13:25 psqe
403,12:07,,Reports at 12:07,,,,,,Duty 403 reports at 12:07
403,,12:15:00,Departs garage,SPL,Reports at 12:07,Departs garage,,12:15:00,
403,,,Charlestown,9,Departs garage,Charlestown,,13:00:00,
403,,,Limekiln,9,Charlestown,Limekiln,,14:45:00,
403,,,PSQW,,Limekiln,PSQW,15:40:00,,
403,,,,,,,,,Duty 403 Finished Duty
403,07:57,,Reports at 07:57,,,,,,Duty 403 reports at 07:57
403,,08:05:00,Departs garage,SPL,Reports at 07:57,Departs garage,,08:05:00,
403,,,Drimnagh Rd,122,Departs garage,Drimnagh Rd,,08:30:00,
403,,,Ashington,122,Drimnagh Rd,Ashington,,10:00:00,
403,,,PSQE,,Ashington,PSQE,10:30:00,,
403,,,Takes Bus 12 (Route 9) at 12:07 Garage,,,,,,Takes Bus 12 (Route 9) at 12:07 garage
404,,,Takes up at 12:05 PSQW,,,,,,
404,,,PSQW,,Takes up at 12:05 PSQW,PSQW,,12:05:00,
404,,,Ashington,122,PSQW,Ashington,,12:50:00,
404,,,Drimnagh Rd,122,Ashington,Drimnagh Rd,,14:20:00,
404,,,PSQW,,Drimnagh Rd,PSQW,15:10:00,,
404,,,,,,,,,Duty 404 Finished Duty
404,,,,,,,,,Duty 404 Finished Duty
404,,,Phibsboro,ROUTE 122,PSQW,Phibsboro,,,
404,08:02,,Reports at 08:02,,,,,,Duty 404 reports at 08:02
404,,08:10:00,Departs garage,SPL,Reports at 08:02,Departs garage,,08:10:00,
404,,,Ashington,122,Departs garage,Ashington,,08:30:00,
404,,,Drimnagh Rd,122,Ashington,Drimnagh Rd,,10:00:00,
404,,,PSQW,,Drimnagh Rd,PSQW,10:40:00,,
404,,,Takes Bus 3 (Route 122) at 12:05 PSQW,,,,,,Duty 404 Finished Duty
405,08:22,,Reports at 08:22,,,,,,Duty 405 reports at 08:22
405,,08:30:00,Departs garage,SPL,Reports at 08:22,Departs garage,,08:30:00,
405,,,Charlestown,9,Departs garage,Charlestown,,09:00:00,
